,Text,Annotate
40,"MANILA, Philippines – The Philippine government aims to vaccinate 5 million individuals during the third wave of its nationwide vaccination drive dubbed “Bayanihan Bakunahan” on February 10 and 11.",
41,"MANILA, Philippines – The Muntinlupa Regional Trial Court (RTC) rejected government prosecutors’ request to hold in contempt jailed opposition leader Leila de Lima and her lawyer, and said the media statements in question are “mere echoes of the testimonies of the witnesses.”",
42,"MANILA, Philippines – Another appointee of President Ferdinand Marcos Jr. is exiting barely seven months into his administration.",
43,Dagupan school among top 3 finalists for World’s Best School Prize,
44,"MANILA, Philippines – Lawyer Melvin Matibag, the secretary-general of PDP-Laban, has been appointed acting Cabinet secretary. Matibag took his oath Wednesday morning, March 9.",
45,"MANILA, Philippines – House ways and means panel chairman Joey Salceda began  hearing on Wednesday, May 3, with a concern that was not originally on the day’s agenda: the slow disbursement of government funds.",
46,"Duterte, Romualdez-led Lakas-CMD to dominate House under Marcos",
47,"MANILA, Philippines – In a simple and straightforward inaugural ceremony in her hometown of Davao City on Sunday, June 19, vice president-elect Sara Duterte said “the voice of 32.2 million Filipinos was loud and clear.”",
48,"On Friday, February 24, the Philippine Statistics Authority (PSA) released its report on the total number of deaths that occurred in the country in 2021. In the second year of the pandemic, a total of 879,429 deaths were recorded.",
49,"MANILA, Philippines – When he spoke for the first time as president, Ferdinand Romualdez Marcos Jr. made a bold promise to the nation: “You will not be disappointed. So do not be afraid.”",
50,"MANILA, Philippines – It took days of refusing to confirm or deny if the President was flying to Singapore to watch the Grand Prix, but in the wee hours of the morning on Monday, October 3, Press Secretary Trixie Cruz-Angeles confirmed what several media outfits and the internet already knew: that Ferdinand Marcos Jr. was in the city-state to watch Formula 1 racing.",
51,"MANILA, Philippines – The University of the Philippines (UP) said on Thursday, September 29, that it will allow full face-to-face classes in all its undergraduate courses beginning second semester of academic year 2022 to 2023, which is scheduled to start sometime in February 2023.",
52,"With 10 days to go in the campaign, presidential frontrunner Ferdinand “Bongbong” Marcos Jr. has his eyes set on Central Luzon, which has 7.28 million voters or 11% of the total voting population of the country.",
53,WATCH: Ano ang pag-uusapan nina Marcos at Biden sa White House?,
54,Funds for students with special needs slashed in DepEd’s 2023 proposed budget,
55,"MANILA, Philippines – A larger-than-usual crowd of applicants filled voter registration sites across the Philippines on the day of the deadline, but the Commission on Elections (Comelec) said registration remained orderly.",
56,Supreme Court: 2022 Bar Exams to push through as scheduled in November,
57,"PH Marines, US Navy kick off weeklong joint marine exercise",
58,"Duterte vetoes SIM card, social media registration bill",
59,"MANILA, Philippines – The Republic of Korea donated 34 refrigerated trucks and four service vans to the Philippines to support the Southeast Asian country’s ongoing coronavirus vaccine drive.",
60,"MANILA, Philippines – The Philippines is set to ease its face mask policy as President Ferdinand Marcos Jr. “verbally” approved coronavirus task force’s  to make wearing masks optional when outdoors.",
61,"MANILA, Philippines – Former vice president Leni Robredo said on the day marking former senator Leila de Lima’s 6th year under detention that she stood in solidarity with the former lawmaker, adding that truth will always prevail in the end.",
62,SC upholds protection for wife of drug war victim,
63,"With Hague ruling, Robredo, Lacson to rally support of int’l community in West PH Sea",
64,"US second gentleman visits Caloocan school, announces $5-M vaccine aid",
65,BOSES NG KALYE: Dapat pa bang alalahanin ang EDSA Revolution?,
66,"Face disinformation, reach out to its victims, says millennial priest",
67,Rappler Recap: Final tribute for Bulacan rescuers,
68,"Bullying in schools underreported, says chair of Senate education panel",
69,"Metro Manila, 7 other areas ease to Alert Level 2 from February 1",
70,PANOORIN: Mga lugar na puwedeng puntahan para alalahanin ang EDSA Revolution,
71,"MANILA, Philippines – Juanito Jose Remulla III, the eldest son of Department of Justice (DOJ) Secretary Jesus Crispin “Boying” Remulla, was arrested on October 11 for alleged importation of 893.91 grams of high-grade marijuana, with an estimated street value of P1.25 million, and for violating customs law.",
72,Marcos to bring up human rights in talks with EU,
73,"MANILA, Philippines – The Department of Justice (DOJ) under president-elect Ferdinand “Bongbong” Marcos Jr. will continue the drug war review to reinvestigate cases of killings in legitimate police operations, according to  justice secretary Jesus Crispin “Boying” Remulla who said his department will look into the “red flag” and “pattern” of the anti-drug campaign.",
74,"SC: Gov’t, not airlines, responsible for airport staff’s overtime pay",
75,"MANILA, Philippines – President Ferdinand Marcos Jr., in his own words, managed to “put together a government which is functional” and that focused on the economy in his first 100 days.",
76,"US to work with incoming PH gov’t on human rights, rule of law",
77,"MANILA, Philippines – President Ferdinand Marcos Jr, on Monday, January 23, said his wife, First Lady Liza Araneta-Marcos, has no role in policy-making and is only consulted for “legal” matters.",
78,"Blinken to reaffirm MDT, raise human rights in first PH visit",
79,"MANILA, Philippines – Solicitor General Menardo Guevarra on Friday, January 27, said the Philippines will appeal the International Criminal Court’s (ICC) decision to resume the investigation into drug war killings.",
80,"MANILA, Philippines – Outgoing senators – those whose two consecutive terms in office have ended and those who lost their electoral bids – delivered their “graduation” or valedictory speeches on Wednesday, June 1, the final session day of the 18th Congress.",
81,"MANILA, Philippines – The Commission on Elections (Comelec) is looking into the possibility of allowing vulnerable sectors to vote one or two hours earlier on election day on October 30, when the country selects its new set of barangay and Sangguniang Kabataan leaders.",
82,Gov’t urged to fund medical insurance of students in face-to-face classes,
83,"MANILA, Philippines – The lesbian, gay, bisexual, transgender, and queer  is not asking for any “special rights” with the sought passage of the SOGIE (sexual orientation, gender, identity, and expression) anti-discrimination bill, but only for the correction of the imbalance that has heterosexuals at an advantage, a gender expert said.",
84,"MANILA, Philippines – The Philippines has requested Indonesia to pardon jailed Filipino Mary Jane Veloso, who has been incarcerated since 2010 over drug trafficking charges.",
85,"MANILA, Philippines – For this week’s episode of 36 Years, we speak to human rights lawyer Chel Diokno about the 1986 revolution, why it’s important  it, and how we’re  it when the son of the dictator it ousted is back in Malacañang.",
86,"MANILA, Philippines – Over a month after Erwin Tulfo made a quiet exit as Department of Social Welfare and Development (DSWD) secretary of the Ferdinand Marcos Jr. administration, he said that the President was “easy to work with” but was also hands-on on some occasions, providing a rare peek into the opaque administration and how the president works behind the scenes.",
87,"MANILA, Philippines – The Sandiganbayan, the country’s anti-graft court, barred the Marcos family from retaking their assets that were already declared part of their ill-gotten wealth.",
88,"MANILA, Philippines – President Ferdinand Marcos Jr. on Easter Sunday, April 9, urged Filipinos to take the celebration as a time for renewal and recovery.",
89,"MANILA, Philippines – At least two police generals and eight other officers have been suspended for their possible part in the alleged “massive attempt” to cover up the arrest of the cop allegedly involved in a P6.7 billion shabu bust.",
90,"MANILA, Philippines – President Rodrigo Duterte named the judge who issued at least three of the warrants used in the “Bloody Sunday” operations as new Court of Appeals (CA) associate justice.",
91,"MANILA, Philippines – Most Filipinos think the worst is over with the COVID-19 pandemic.",
92,"MANILA, Philippines – Press freedom advocates from the Philippines and around the world celebrated the acquittal of Nobel laureate Maria Ressa, chief executive officer of Rappler, and Rappler Holdings Corporation by the Court of Tax Appeals (CTA) on Wednesday, January 18.  “The National Union of Journalists of the Philippines  the acquittal of Maria Ressa and Rappler Holdings Corporation at the Court of Tax Appeals,” the NUJP said in a statement on Wednesday morning, following news of the acquittal.",
93,Rappler Talk: Why did over 31M vaccine doses go to waste?,
94,"Deltacron may not cause severe infection, but may have similar transmission rate – expert",
95,"MANILA, Philippines – The National Bureau of Investigation (NBI) on Wednesday, February 9, perp walked or presented to the media, a man whom it was considering to be a person of interest in the supposed threat on TikTok to kill presidential front runner Ferdinand “Bongbong” Marcos Jr.",
96,Luli Arroyo is Marcos’ pick for Philippine ambassador to Austria,
97,"MANILA, Philippines – The Maritime Industry Authority (MARINA) moved to stop the operations of RDC Reield Marine Services,  that owns MT Princess Empress – the sunken vessel responsible for the oil spill that first impacted Oriental Mindoro.",
98,Groups oppose Marcos Jr.’s decision to appoint Sara Duterte as DepEd chief,
99,DOJ chief Remulla wants to relocate Bilibid to Occidental Mindoro,
100,"MANILA, Philippines – In the first nine months of 2021, Energy Secretary Alfonso Cusi and then-Department of Public Works and Highways (DPWH) secretary Mark Villar were still the only two members of President Rodrigo Duterte’s Cabinet with a net worth of over P1 billion.",
101,"MANILA, Philippines – President Ferdinand Marcos Jr. appointed infectious diseases specialist Eric Tayag, also known as the “dancing doctor,” as new undersecretary of the Department of Health (DOH), Malacañang confirmed on Tuesday, November 15.",
102,"MANILA, Philippines – Some areas suspended classes for Wednesday, September 21, due to the southwest monsoon or hanging habagat, which is affecting Central Luzon and Southern Luzon.",
103,"MANILA, Philippines – The United States has imposed sanctions on a “diverse array” of more than 40 individuals and entities across nine countries – including Philippine self-styled pastor Apollo Quiboloy, who is on the US’ most wanted list – in connection to corruption and human rights abuses.",
104,Presidential aspirant Ferdinand “Bongbong” Marcos Jr. has dismissed the conspiracy theory that the Marcos family stored gold that they would eventually share with Filipinos.,
105,"MANILA, Philippines – The scheduled increase in the monthly contribution of members of the Philippine Health Insurance Corporation (PhilHealth) will not push through for now following an order from President Ferdinand Marcos Jr.",
106,Comelec employees back chairman Pangarungan’s confirmation bid,
107,"MANILA, Philippines – US President Joe Biden called presumptive Philippine president Ferdinand Marcos Jr. on Thursday, May 12, to congratulate him on his election win, after preliminary and unofficial results showed the late dictator’s son with 58% of the vote.",
108,"UP, Ateneo rank lower in latest QS world university rankings",
109,Philippines detects first 2 cases of rapidly spreading Omicron BA.2.75,
110,"TOKYO, Japan – Japanese Prime Minister Fumio Kishida pledged to provide roughly P250 billion (¥600 billion) in aid to the Philippines over the next two years, with the goal of supporting the Southeast Asian country’s target to reach upper-middle  status by 2025.",
111,"Marcos to visit Indonesia, Singapore in September",
112,Sandiganbayan clears ex-PCGG chief Sabio of malversation,
113,"MANILA, Philippines – Ten days before the end of the Duterte presidency, Finance Secretary Carlos Dominguez III withdrew the Philippines from the Extractive Industries Transparency Initiative (EITI), a mechanism that ensured the government discloses key information about extractive industry operations and earnings, and engages with environmental activists ",
114,"MANILA, Philippines – Rights groups Campaign Against the Return of the Marcoses and Martial Law, Karapatan, and Desaparecidos held an event  the victims of forced disappearances on Tuesday, August 30 – also the International Day of the Disappeared.",
115,"On September 30, the Liberal Party elected nine-term congressman Edcel Lagman as its new president, and former senator Francis “Kiko” Pangilinan as its chairperson",
116,"MANILA, Philippines – President Ferdinand Marcos Jr.’s visit to Singapore for the Formula One (F1) Singapore Grand Prix was “semi-official” with some expenses covered by the government, Executive Secretary Lucas Bersamin clarified on Wednesday, October 12.",
117,UN rapporteur condemns CA decision upholding Maria Ressa’s cyber libel conviction,
118,Alicia dela Rosa-Bala bows out as Civil Service Commission chair,
119,"MANILA, Philippines – Pope Francis has appointed a Filipino priest as the Holy See’s new ambassador or apostolic nuncio to Rwanda, the Archdiocese of Manila confirmed on Monday, January 31.",
120,"Duterte to Putin: Control your soldiers, spare civilians",
121,"MANILA, Philippines – Most Filipino adults vaccinated against the coronavirus said they were willing to get a booster shot against COVID-19, according to a Social Weather Stations (SWS) survey conducted in December 2021, but released on Thursday night, January 27.",
122,WATCH: Immortalizing memories of Martial Law victims through exhibit,
123,"MANILA, Philippines – The Department of Education (DepEd) on Thursday, September 1, said it was planning to hire 10,000 more teachers in 2023.",
124,CIDG busts gang that tried to extort from Senate President Zubiri,
125,Minority to check Marcos by scrutinizing every work made by his 20 Senate allies – Pimentel,
126,"MANILA, Philippines – President Rodrigo Duterte has been exposed to a household staff member who tested positive for COVID-19 and is under quarantine, said Malacañang on Thursday, February 3.",
127,LIST: Schools ready to take in Colegio de San Lorenzo students,
128,US issues guidelines on defending Philippines from South China Sea attack,
129,"MANILA, Philippines – Sexually abused students on Wednesday, September 7, said they want to meet with Vice President and Education Secretary Sara Duterte to discuss how to make schools safe spaces for students.",
130,"MANILA, Philippines – Commissioner Leah Tanodra-Armamento will lead the embattled Commission on Human Rights (CHR) in the closing months of the tenure of President Rodrigo Duterte, an administration marked by blood and violence.",
131,Locsin travels to Poland for repatriation of Filipinos in Ukraine,
132,"MANILA, Philippines – President Ferdinand Marcos Jr., almost a month after he was inaugurated as the 17th president of the Philippines, is set to hold his first State of the Nation Address (SONA) on Monday, July 25.",
133,House OKs bill halting mother tongue-based learning in kindergarten to Grade 3,
134,"MANILA, Philippines – A Muntinlupa court has issued a warrant of arrest against former Bureau of Corrections (BuCor) director general Gerald Bantag and corrections official Ricardo Zulueta over the death of Jun Villamor, the alleged middleman who contacted people to allegedly kill broadcaster Percy Lapid.",
135,"MANILA, Philippines – After spending the past six months incarcerated at the Pasay City Jail, two executives of the controversial Pharmally Pharmaceutical Corporation are now free men.",
136,Solved in 5 months? Supreme Court’s new promise is to expedite ‘small’ cases,
137,"MANILA, Philippines – Partido Lakas ng Masa senatorial bet Luke Espiritu refuted both statements of fellow candidates human-rights-lawyer-turned-government-spokesperson Harry Roque and suspended lawyer Larry Gadon about Martial Law and the Marcoses.",
138,DOJ gets court to order rearrest of rural doctor Naty Castro,
139,"MANILA, Philippines – China has downplayed President Ferdinand Marcos Jr.’s decision to summon Chinese Ambassador Huang Xilian after the China Coast Guard (CCG) deployed a military-grade laser against the Philippine Coast Guard (PCG) in the West Philippine Sea.",
140,IBP: NSC embarrassed Duterte gov’t with baseless bid to shut down websites,
141,LIST: Long weekends in 2023,
142,PANOORIN: May special treatment sa anak ni Boying Remulla,
143,Stabbed by Bantag: Prison gang leaders claim abuse by ex-BuCor chief,
144,"MANILA, Philippines – Former president Rodrigo Duterte should not be left out in local investigations into human rights violations during his administration, including the thousands of killings in his war on drugs, according to  Amnesty International secretary-general Agnes Callamard.",
145,36 Years: What makes and breaks the OVP,
146,PANOORIN: Mataas na presyo ng bilihin dagdag pasanin sa pagbubukas ng klase,
147,"MANILA, Philippines – Nine months after  the first majority president post-1986, is public support for President Ferdinand Marcos Jr. starting to go down?",
148,"There’s a ‘Takayama’ in Manila, and it’s not what you think it is",
149,ABS-CBN frequencies are Duterte’s ‘payback’ to Villars – Bayan Muna,
150,"MANILA, Philippines – Even after the latest turnover of cash and real properties from former Armed Forces of the Philippines major general Carlos Garcia to the nation’s coffers, his family is not yet off the hook from their involvement in Garcia’s earlier charges of plunder and money laundering.",
151,"MANILA, Philippines – The National Union of Students of the Philippines (NUSP) on Monday, March 21, urged the government to allot budget for the medical insurance of students and teachers as they gradually return to their campuses for face-to-face classes.",
152,"MANILA, Philippines – Suspended Bureau of Corrections (BuCor) Director General Gerald Bantag was handed another suspension for allowing Sonshine Media Network International (SMNI) to interview retired general and convicted kidnapper Jovito Palparan inside the New Bilibid Prison (NBP).",
153,Bantag said Bilibid hole would be used to look for Yamashita treasure – Remulla,
154,"MANILA, Philippines – The Department of Justice (DOJ) and the Bureau of Immigration (BI), on Wednesday, February 8, deported Yuki Watanabe and Tomonobu Saito, the two remaining Japanese fugitives involved in a string of robberies in Japan.",
155,Marcos on pleas for De Lima’s release: ‘We don’t doubt the process’,
156,IN NUMBERS: Political prisoners in the Philippines since 2001,
157,"MANILA, Philippines – President Ferdinand Marcos Jr. on Friday, September 9, joined world leaders in mourning the death of Queen Elizabeth, saying the world just “lost a true figure of majesty.”",
158,"LIST: Metro Manila, other areas to remain under Alert Level 1 until May 31",
159,"LIVESTREAM: Senate hearing on pandemic, monkeypox response",
160,"MANILA, Philippines – Former senator Leila de Lima – six years into her detention – said she was right in sacrificing her freedom to fight for human rights.",
161,"MANILA, Philippines – In a rare move, the Supreme Court issued a show cause order against Lorraine Badoy, the former spokesperson of the government’s anti-insurgency, asking her to explain having threatened Judge Marlo Magdoza-Malagar.",
162,"The story of Ateneo guard Jeneven Bandiala: Loving husband, selfless brother",
163,"MANILA, Philippines – The Department of Health (DOH) reported on Thursday, January 27, that 91.29% or 618 of the 677 COVID-19 samples were positive for Omicron, adding that majority have the BA.2 subvariant or “stealth Omicron.”",
164,"MANILA, Philippines – An official of the National Bureau of Investigation (NBI) Cybercrime Division said they support the passage of the anti-online sexual abuse and exploitation of children (OSAEC) bill, adding it would speed up the investigation of online sexual predators.",
165,"MANILA, Philippines – This time, the parties are “simple” – or at least that’s what they’re saying.",
166,"To consolidate, Marcos targets vote-rich Luzon, then Cebu for ‘sway’ region",
167,Robredo eyes localized Bayanihan E-Konsulta to serve communities post-pandemic,
168,"MANILA, Philippines – President Ferdinand Marcos Jr. on Monday, March 27, said the government was “still studying” how it could use vacant, idle land for public housing — some four months after Malacañang first announced that it would issue an executive order on the matter.",
169,IN PHOTOS: Groups hold protest ahead of Marcos’ first SONA,
170,Leody and Bello’s Laban ng Masa: Makabayan backing of Robredo ‘erroneous’,
171,"MANILA, Philippines – Concluding that the Department of National Defense (DND) was not keen on  taking the lead in running a Reserve Officers’ Training Corps (ROTC) mandatory program for college students, an annoyed  Senator Ronald “Bato” dela Rosa suggested to drop discussing the matter altogether.",
172,Remulla on delayed digitization of prisoner data: Not easy to shift,
173,Pharmally exec’s security guard allegedly kills 2 fellow guards inside Forbes Park,
174,"PNP chopper crash in Quezon province kills 1, injures 2 others",
175,"MANILA, Philippines – Ateneo de Manila University said on Tuesday, September 27, that it would award an honorary degree to Nobel Peace Prize laureate and Rappler CEO Maria Ressa for being a “trailblazer and a truth-teller, zeroing in on the importance of freedom of expression and ethical journalism.”",
176,Philippines to ask Interpol for ‘blue notice’ vs suspects in Degamo slay,
177,"MANILA, Philippines – Public support for amending the 1987 Constitution has notably increased, according to a survey conducted by Pulse Asia from March 15 to 19, and released to the media on Tuesday, April 4.",
178,Sandiganbayan upholds cases vs ex-Pagcor chief over ‘questionable’ use of funds,
179,"PNP chief Azurin wants review of drug war, asks Church’s help for cops’ ‘reform’",
180,"ILOCOS SUR, Philippines – Media organizations in Southeast Asia called on presumptive president Ferdinand “Bongbong” Marcos Jr. to ensure press freedom and the protection of media workers in the Philippines.",
181,DOJ to file kidnap charges vs 3 cops in missing sabungero case in Laguna,
182,"MANILA, Philippines – Ngayong pababa na si Pangulong Rodrigo Duterte sa Malacañang, kinausap namin ang aming mga reporter tungkol sa kanilang karanasan sa pagsunod sa kanyang administrasyon.",
183,"With ICC probe active, Canada urges PH to commit to international obligations",
184,"MANILA, Philippines – A Navotas court convicted dismissed cop Jefrey Perez for the murders of Rizal teenagers Carl Angelo Arnaiz and Reynaldo “Kulot” de Guzman in 2017, in a decision released to the public on Monday, March 13.",
185,"MANILA, Philippines – Former senator Leila de Lima has been in jail for over five years for alleged drug charges, which she calls “trumped up.”",
186,"MANILA, Philippines – The Office of the Ombudsman charged 43 people, including immigration officials, with graft in connection with the so-called “pastillas scam” which involved extorting money from Chinese nationals in exchange for Philippine visas.",
187,Another NAIA screening officer arrested for theft of passenger’s watch,
188,"MANILA, Philippines – Despite President Rodrigo Duterte’s approval of the implementing rules and regulations (IRR) for the law creating the Department of Migrant Workers (DMW), operations at the Philippine Overseas Employment Administration (POEA) must remain at status quo until the new department is fully constituted, the labor department said on Thursday, April 21.",
189,Philippines rejects democracy summit’s acknowledgement of ICC’s important role,
190,"MANILA, Philippines – One of President Ferdinand Marcos Jr.’s first legislative asks from Congress in his first State of the Nation Address (SONA) is a law that would free from debt farmers awarded lands by the government.",
191,‘A no-brainer’: Marcos gov’t urged to declare Verde Island Passage off-limits to certain ships,
192,DOTr seeks 100% capacity for PUVs in areas under Alert Level 1 – LTFRB,
193,Ex-PNP spokesperson Banac is new Eastern Visayas police chief,
194,"‘Destab’ rumors flood chat groups; military, PNP issue denial",
195,"Too early to celebrate: Japanese ROV can’t plug, siphon oil from MT Princess Empress",
196,"Media, rights groups stand behind Rappler after SEC’s latest closure move",
197,"MANILA, Philippines – Is refusal to surrender grounds for designating or proscribing an individual under Republic Act No. 11479, or the Anti-Terrorism Act of 2020?",
198,House panel to probe Arnie Teves’ failure to return to the Philippines,
199,Joma Sison’s last message to his comrades revealed,
200,Draft Senate panel report seeks criminal cases vs 26 ‘pastillas’ scam masterminds,
201,"MANILA, Philippines – Senate President Jose Miguel “Migz” Zubiri announced on Friday, August 19, that the Senate building will be on “total lockdown” on Monday, August 22, to allow its full disinfection after several senators and Senate personnel tested positive for COVID-19.",
202,"Maria Ressa sues red-tagging Badoy, adds to various calls for Ombudsman sanction",
203,"Bookmark and refresh this page to watch this forum live at 4 pm (Manila time) on Tuesday, February 22.",
204,"MANILA, Philippines – The National Bureau of Investigation (NBI) is now entering a new phase after its new director assumed his post.",
205,Duterte admits using Davao City peace and order fund for salaries of suspended cops,
206,Flawed data? House probe on onions fiasco prompts more questions than answers,
207,Immigration officials in ‘pastillas’ scam charged with graft,
208,"MANILA, Philippines – Lawyer Jessica Lucila “Gigi” Reyes, former chief of staff of presidential legal counsel Juan Ponce Enrile, walked free from jail on January 19 after the Supreme Court (SC) granted her the privilege of writ of habeas corpus. Reyes was implicated in the pork barrel scam and has been in jail since 2014.",
209,Setting the bar high: Inspiring stories from aspiring lawyers,
210,"MANILA, Philippines – After three hearings, the Senate blue  ended its probe into the sugar importation fiasco on Tuesday, September 6, and expects to release  report by Thursday, September 8.",
211,LIVESTREAM: Comelec holds summit to lay out election reform agenda,
212,"MANILA, Philippines – A ranking member of the House of Representatives filed a resolution asking  on economic affairs and trade and industry to look into the alleged  practices and cartel in the Philippines’ onion industry.",
213,"CAGAYAN DE ORO, Philippines – Averse to debate and media in general, presidential candidate Ferdinand “Bongbong” Marcos Jr. faced the media this week, but the press conference in Cagayan de Oro (CDO) was controlled, while CNN Philippines skipped the hot issue of non-payment of estate tax in its sitdown interview.",
214,"MANILA, Philippines – Opposition senator Risa Hontiveros said on Saturday, March 18, that the International Criminal Court’s (ICC) decision to issue an arrest warrant against Russian President Vladimir Putin should serve as “fair warning” to those who have continued to deny justice to drug war victims in the Philippines.",
215,"MANILA, Philippines – Two days after the onslaught of Severe Tropical Storm Paeng (Nalgae), Caviteños were asking for help from the Marcos government so they could restart their lives.",
216,"Marcos arrives in New York for UNGA address, working visit",
217,"MANILA, Philippines – President Ferdinand Marcos Jr. said the World Economic Forum (WEF) will host a “country strategy dialogue” for the Philippines to discuss its economic plans and attract foreign investments.",
218,"MANILA, Philippines – President Rodrigo Duterte on Tuesday, April 26, said he will not be attending the summit between United States (US) President Joe Biden and leaders of the Association of Southeast Asian Nations (ASEAN) since it will be held after the 2022 Philippine elections.",
219,"MANILA, Philippines – For over five years and counting, former senator Leila de Lima has been detained in the Camp Crame Custodial Center, waiting out the resolution of drug-related charges filed against her by the Duterte administration in 2017.",
220,SC: Marital infidelity considered psychological violence under VAWC law,
221,"MANILA, Philippines – Former foreign secretary Albert del Rosario, best remembered for helping bring China to court, died at the age of 83, the Department of Foreign Affairs (DFA) announced on Tuesday, April 18.",
222,"ICC prosecutor rejects Duterte DOJ efforts, ball now in Marcos’ court",
223,Press freedom advocates: Rappler tax case victory ‘a win for journalists’,
224,P588-B unprogrammed fund in 2023 budget must be itemized – Recto,
225,Marcos appoints ex-PNP chief Cascolan as DOH undersecretary,
226,Want to help drivers and operators affected by nationwide transport strike?,
227,COA uncovers questionable claims in distribution of DOLE’s pandemic ayuda in Pampanga,
228,Globe-trotting in 100 days: Marcos is most frequent traveler among post-EDSA presidents,
