,Text,Annotate
35,"MANILA – Senator Imee Marcos emphasized on Wednesday the need to update the existing laws that allows the government to conduct an automated elections which, at times, results to controversies ""making the electoral landscape unnecessarily contentious and contradictory.""",
36,One-stop-shop for processing of special chartered flights eyed,
37,"Gov't to hold aid drives, Kadiwa caravans, job fairs on Labor Day",
38,Rules on night shift differential pay for gov't workers out,
39,New naval assets highlight PH Fleet’s 85th anniversary,
40,DBM chief gets 'Woman of Substance' award,
41,Magnitude 5.6 quake jolts Cagayan,
42,"‘Good work,’ PBBM tells PH humanitarian contingent to Türkiye",
43,"MANILA – The National Irrigation Administration (NIA) on Monday underscored the significance of retrofitting the Magat Dam considering the welfare of farmers.  In the Laging Handa public briefing, NIA acting administrator Eduardo Guillen said the dam needs to be fortified immediately. “Alam naman po natin na iyong Magat Dam mayroong lindol lately, naapektuhan po iyong dam natin. So mayroon po tayong gagawing retrofitting diyan o pagpapatibay ng ating dam (We know that the Magat Dam was recently affected by an earthquake so we need to do a retrofitting or a strengthening of our dam),” he said.  He said the implementation of retrofitting shall be implemented this year.  Guillen, however, said the NIA needs around PHP500 million worth of funds for the move. He said Senator Imee Marcos joined several agencies in supporting the funding to improve the four-decade-old dam.  “Tumulong po kasi sa amin si senadora diyan sa funding… medyo malaki-laki ang gastos po na ito pero kapag nagtulung-tulong po, tinutulungan kami ng mga iba’t ibang agencies at ng nasa Kongreso (Senator [Imee Marcos] helped us in the funding… the expense is quite huge but with the help of others, various agencies and the Congress have been helping us),” he added. Guillen said coordination is significant considering the importance of the dam to the farmers.  “Ang dami pong umaasa po diyan na ating mga farmers lalo iyong ating mga irrigators’ association para sa kanilang patubig (Many farmers have been depending [on Magat Dam], especially our irrigators’ association for their irrigation),” he said.  Guillen said it will also be a huge help for farmers if the dam remains beneficial even over a hundred years.  Apart from its benefits to farmers, Senator Marcos earlier said the move shall also help the  the effects of climate change.",
44,Proposed VAT refund for tourists seen to increase shopping by 29%,
45,SC reiterates ban on public office for Pichay,
46,Legarda renews call to establish coastal greenbelt zones,
47,"DMW creates task force, command center to monitor OFWs in Türkiye",
48,"MANILA – The four additional Enhanced Defense Cooperation (EDCA) agreed locations intend to intensify the role of the Armed Forces of the Philippines (AFP) in strengthening the country's defense and security as well as humanitarian and relief operations, Department of Defense chief Carlito Galvez Jr. clarified on Wednesday to senators.",
49,MANILA – The Department of Energy (DOE) plans to transfer generator sets to Occidental Mindoro from Eastern Visayas to help ease the province’s power woes.,
50,"Putting ashes on foreheads OK in Manila, Kalibo churches",
51,Anwar: ASEAN must have common position on SCS,
52,CAB hikes fuel surcharge for March,
53,No extension of SIM card registration 'at this point': DICT,
54,MANILA – Chinese Ambassador to Manila Huang Xilian is hoping to have a separate direct line between Beijing and Manila's defense establishments amid growing tensions after the Chinese Coast Guard (CCG) lased Philippine Coast Guard vessel BRP Malapascua last Feb. 6.,
55,PH daily average of Covid-19 cases up by 42%,
56,"Rice importation remains an option for emergency, relief ops",
57,"UAE-based Sudanese rejoins Filipina wife, children in Egypt",
58,"MANILA – The Philippine Navy's (PN) missile frigate BRP Antonio Luna (FF-151) achieved another milestone as an AgustaWestland (now Leonardo) AW-159 ""Wildcat"" anti-submarine helicopter successfully landed on its flight deck while the ship was underway off Corregidor Island.",
59,9 of 10 Filipinos have experienced climate change impacts: SWS,
60,"MANILA – Some parts of Luzon will experience rain showers caused by a low pressure area (LPA) and the northeast monsoon or ""amihan,"" the weather bureau said Tuesday. The LPA, last spotted 340 kilometers east northeast of Casiguran, Aurora or 345 km east of Tuguegarao City, Cagayan remains less likely to develop into a tropical cyclone. However, it will bring scattered rain showers and thunderstorms over mainland Cagayan, Isabela, Aurora, and Quezon. Flash floods or landslides are possible due to moderate to heavy with at times intense rains, the Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA) said in its 4 a.m. weather bulletin. Batanes and Babuyan Islands will experience rains caused by the northeast monsoon and flash floods or landslides due to moderate with at times heavy rains are also possible. The amihan is forecast to bring light rains over Ilocos Region and Cordillera Administrative Region but no significant impact is expected. The rest of the country will have isolated rain showers due to localized thunderstorms. Flash floods or landslides may be experienced during severe thunderstorms. Meanwhile, moderate to strong winds and moderate to tough seas will prevail across Luzon. The northern and western seaboards of Northern Luzon, the western seaboard of Central Luzon, and the northern and eastern seaboards of Luzon will have rough to very rough seas. PAGASA advised fishing boats and other small seagoing vessels not to venture into the sea, and larger sea vessels are alerted against big waves.  Elsewhere, winds will be light to moderate with slight to moderate seas. ",
61,"MANILA – Former Manila Cathedral rector, Fr. Reginald Malicdem, has been named as Vicar General and Vice Moderator Curiae of the Archdiocese of Manila.",
62,"DA upholds food safety, seizes P120-M smuggled agri-fishery goods",
63,MANILA – The Department of Foreign Affairs (DFA) on Friday criticized China over its “highly dangerous maneuvers” against the Philippine Coast Guard (PCG) in the waters off Ayungin Shoal recently.,
64,Comelec to print 1.6M additional BSKE ballots next month,
65,MANILA – The five-member advisory body looking into the possible involvement in illegal drugs of senior officers of the Philippine National Police (PNP) is aiming to finish the vetting process before PNP chief Gen. Rodolfo Azurin Jr. reaches the retirement age of 56 on April 24.,
66,"MANILA – Vice President Sara Duterte on Tuesday advised newly married couples to practice family planning to prevent poverty, as she joined the 62nd ""Pa-Wedding ni Tambunting"" (mass wedding) ceremony in Parañaque City.",
67,"MANILA – Majority of the Filipinos are satisfied with the performance of Vice President Sara Duterte, who received an “excellent” overall grade, according to a Social Weather Stations (SWS) net satisfaction survey.",
68,"US Coast Guard, air assets to aid PH in oil spill response",
69,Kyiv invites PH law experts to help document crimes vs. Ukraine,
70,"MANILA – The Department of Social welfare and Development (DSWD) on Friday urged the public to observe and participate in the National Women’s Month celebration this March, in recognition of the significant contributions of the women sector in nation building.",
71,"MANILA – The offshore patrol vessel BRP Andres Bonifacio (PS-17), which is assigned to the Naval Forces West (NFW), rescued six people aboard a distressed motorboat off Ulugan Bay in Palawan on Easter Sunday.",
72,3rd ID gets 2 brand-new ATMOS 155mm howitzers,
73,MANILA – The Office of the Ombudsman has ordered the suspension without pay for six months of a Mindoro Oriental municipal mayor and another official found guilty of simple misconduct for allowing the operation of illegal cockfighting five years ago.,
74,"MANILA – President Ferdinand R. Marcos Jr. on Thursday pledged to ensure the ""continued and smooth"" operations of Japanese investors in the Philippines.",
75,Legarda wants tax incentives for salt industry investors,
76,MANILA – A group of health advocates urged Filipinos on Valentine’s Day to show extra love for their hearts by keeping them in shape this heart month.,
77,"MANILA – Police officers discovered 27 kilos of suspected shabu with an estimated street value of PHP183.6 million in an abandoned car in Parañaque City, the Southern Police District (SPD) reported on Thursday.",
78,"MANILA – The United States Embassy in Manila said a USD24-million airstrip extension and rehabilitation project will break ground at the Cesar Basa Air Base in Floridablanca, Pampanga on March 20.",
79,"PH, Japan affirm defense, security cooperation",
80,MANILA – President Ferdinand R. Marcos Jr. on Friday vowed to prioritize and support the development of the newly created provinces of Maguindanao del Sur and Maguindanao del Norte especially during the transition period.,
81,"MANILA – President Ferdinand R. Marcos Jr. is heading to London on Thursday night (US time) to further strengthen the economic relations and trade partnership between Manila and London, Malacañang said Friday (Manila time).",
82,5 Chinese nabbed for illegal detention of compatriot,
83,"Agri scholarships, incentives for farmers’ dependents pushed",
84,EU says human rights condition in PH ‘better’ under current admin,
85,PNP completes vetting of ranking officers,
86,New PNP chief eyes reshuffle of senior officials,
87,"MANILA – The country's crime rate has dropped by 19.49 percent from January to Feb. 25 this year  to the same period in 2022, amid the spate of attacks against local officials this month.",
88,Occupancy permit should be renewed periodically: Tolentino,
89,"MANILA – Senator Francis ""Chiz"" Escudero on Wednesday said the government should evaluate and study the physical condition of modern jeepneys saying his personal experience shows that they are good only for two years.",
90,MANILA – The National Security Council (NSC) on Monday said it  the latest results of the Global Terrorism Index (GTI) which placed the Philippines at 18th place in countries impacted by terrorism in 2022.,
91,Tulfo: Autism must be treated seriously,
92,CAAP to probe aircraft interruption to Balikatan drills,
93,MANILA – President Ferdinand R. Marcos Jr. believes that well-studied infrastructure projects from previous administrations must continue for the benefit of the nation.,
94,Pag-IBIG Fund defers 2023 contribution hike,
95,MANILA – The Philippines has maintained its Tier 1 status in the annual Trafficking in Persons (TIP) report.,
96,"PNP, AFP to identify, dismantle private armed groups nationwide",
97,Manila Cathedral opens doors to Lenten pilgrims,
98,Security sector committed to defeating peace spoilers: DND chief,
99,"MANILA – The Association of Southeast Asian Nations (ASEAN) strongly condemned on Thursday Myanmar’s deadly air attack in Pazigyi believed to have killed more than 100 villagers, including children.",
100,"MANILA – President Ferdinand R. Marcos Jr. on Wednesday watched the live-fire sea drills of the Philippines and the United States to culminate the field training event for this year's ""Balikatan"" exercises.",
101,MANILA – The Inter-Agency Task Force Monitoring Team (IATF-MT) will provide free rides on several routes in the National Capital Region (NCR) during Tuesday’s evening rush hour to ensure sufficient transportation ,
102,Crucial fisheries reforms needed to achieve food security,
103,Tulfo files bill seeking security monitoring inside prison cells,
104,DOH: IATF discussion on 'decoupling' of Covid restrictions done,
105,PNP fast-tracking probe in alleged database leak,
106,MANILA – The Metropolitan Manila Development Authority (MMDA) on Monday reported that the weeklong transport strike so far had little effect  through contingency measures prepared by the government.,
107,PCO vows to promote 'free media environment',
108,Phivolcs launches Project DANAS,
109,MANILA – An unidentified man who dropped a bomb joke at the Metro Rail Transit Line 3 (MRT-3) was apprehended by security personnel and taken to a local police station on Wednesday.,
110,Test of automated poll system set in 3 villages for 2023 BSKE,
111,DFA vows to save Filipinos on death row abroad,
112,Farmers will suffer if seized sugar given for free -- Palace,
113,"MANILA – Alarmed by the power interruptions in Western Visayas, a lawmaker filed a measure to probe the energy crisis, as Senate President Juan Miguel Zubiri proposed for the amendment of the 20-year-old Electric Power Industry Reform Act (EPIRA).",
114,PCG collects shoreline samples in towns near Mindoro oil spill,
115,"MANILA – The Government Services Insurance System (GSIS) announced on Tuesday night that its 562,000 pensioners would receive their pensions before the holidays this Holy Week.",
116,"MANILA – Nearly 78,000 police officers across the country have been deployed to ensure safe travel for motorists  during the Lenten season and the summer months, Philippine National Police (PNP) chief Gen. Rodolfo Azurin Jr. said Monday.",
117,"Warm weather, isolated rain showers to prevail across PH",
118,"MANILA – The Presidential Commission for the Urban Poor (PCUP) has vowed support for Quezon City’s new poverty reduction program, the “Buhay at Bahay”: Urban Poor and Human Settlement Service Caravan 2023.",
119,MANILA – The Chinese Embassy in Manila called out Washington DC on Friday for “discrediting” China’s economic relations with the Philippines.,
120,MANILA – The mayor of Datu Montawal town in Maguindanao del Sur province was seriously injured after he was shot by two unidentified men in Pasay City on Wednesday night.,
121,"Rainy Valentine's Day in Visayas, Mindanao due to trough of LPA",
122,Female Japanese fugitive intercepted at BI Taguig office,
123,"MANILA – The Land Transportation and Franchising Regulatory Board (LTFRB) will  up with an order regarding the distribution of 100,000 slots for transport network vehicle service (TNVS) applications nationwide.",
124,MANILA – A measure promoting transparent governance and instituting anti-corruption mechanisms in the operation of banks and other financial institutions hurdled second reading approval at the House of Representatives.,
125,"5 more NPA rebels neutralized, 46 firearms seized - AFP",
126,Airlines share guidelines for smooth travel this Holy Week,
127,MANILA – Armed Forces of the Philippines (AFP) chief of staff Gen. Andres Centino expressed his gratitude to the Japanese government for its support to the force's ongoing modernization program.,
128,"‘Amihan’ to bring cloudy skies, light rains over Luzon Saturday",
129,MANILA -- The Supreme Court (SC) has ruled that mothers who abuse their children can be held liable under the Violence Against Women and Their Children (VAWC) Act in suits brought by the fathers of minor children.,
130,"MANILA – The Philippines has no desire or intention to interfere with the Taiwan issue, a ranking official of the National Security Council (NSC) said.",
131,"MANILA – A bill seeking to institutionalize teaching supply allowances for public school teachers nationwide to promote and improve the economic status of teachers, and assist them in providing quality education to their students is now pending for second reading after being introduced at the Senate plenary on Tuesday.",
132,MANILA – An American who was caught on video berating and physically assaulting a delivery rider in Cebu City is now under the custody of the Bureau of Immigration (BI).,
133,Army officers in Davao bizwoman slay charged in military court,
134,MANILA – The Philippines and Sweden are looking forward to concluding a framework for defense materiel acquisition.,
135,Marcos to Japan: PH to ensure ready pool of skilled seafarers,
136,BI: Faking religion to work abroad new trafficking scheme,
137,PBBM to meet with Malaysian PM at Malacañan on March 1,
138,Bill on PMMA cadet slots for legislative districts hurdles House,
139,MANILA – United Nations (UN) Secretary-General's Special Envoy for Road Safety Jean Todt on Thursday highlighted the need for increased vigilance to fight the growing number of road traffic fatalities across the world.,
140,MANILA – President Ferdinand R. Marcos Jr. on Wednesday said the country should improve its preparedness for future emergencies by setting up a stockpile of essential medicines and ramping up local production of pharmaceuticals. Marcos made the remark during a meeting with the Private Sector Advisory Council (PSAC) healthcare sector group at Malacañan Palace.,
141,"Water service interruption in parts of QC, Rizal Feb. 14-15",
142,MANILA – The Department of Agrarian Reform (DAR) has provided a total of PHP7.48 million worth of farm machinery and equipment to four agrarian reform beneficiaries organizations (ARBOs) in Abra province to help them boost their livelihood activities and  climate resilient.,
143,MANILA – President Ferdinand R. Marcos Jr. on Sunday assured that the national government would intervene to resolve the power outages in Negros and Panay Islands brought on by a problem in the distribution system.,
144,"Comelec eyes automation of village, youth polls",
145,"ITCZ to bring scattered rain showers in Mindanao, Palawan",
146,MANILA – Immigration officers at the Ninoy Aquino International Airport (NAIA) apprehended a South Korean national who tried to leave the country using a Philippine passport.,
147,"Filtering, enhanced training of NAIA screeners underway",
148,Comelec gets P8.3-B for construction of own building,
149,"PDEA destroys P20B worth of seized drugs, chemicals",
150,MANILA – The Philippine Coast Guard (PCG) on Wednesday thanked the country’s allies in expressing their support for the Philippines’ sovereignty at sea following run-ins with the China Coast Guard (CCG) and militia vessels during a seven-day patrol at the West Philippine Sea (WPS).,
151,MANILA – A lawmaker at the House of Representatives on Thursday urged senators to keep an open mind on the lower chamber's push for amending the 1987 Constitution's economic provisions to boost foreign investments in the country.,
152,MANILA – A lone bettor from Manila has  the latest millionaire after winning the PHP34.1-million jackpot of the Grand Lotto 6/55 on Wednesday.,
153,MANILA – President Ferdinand R. Marcos Jr. on Sunday vowed to continue prioritizing the welfare of Filipino workers by providing the vital opportunities to achieve their full potential.,
154,MANILA – Senator Grace Poe on Thursday lauded the signing of President Ferdinand R. Marcos Jr. of an executive order creating a Water Management Office (WMO) to deal with the country's water crisis as a “timely intervention.”,
155,"MANILA – The Department of Public Works and Highways (DPWH) reopened on Tuesday the PHP38-million modular steel flyover at the intersection of Lazatin Avenue and Jose Abad Santos Avenue (formerly Gapan-San Fernando-Olongapo Road) in San Fernando City, Pampanga. DPWH Senior Undersecretary Emil Sadain conducted the final safety checking of the Lazatin steel flyover before reopening to light vehicles only, or those not exceeding 20 tons and 2.75 meters in vertical clearance. The flyover was closed to traffic since Feb. 11, 2023. It was dismantled to undergo the replacement of the 45 pieces of prefabricated segmental slabs that deteriorated due to the passage of overloaded vehicles. “It is high time the law against overloading is strictly implemented as it prematurely deteriorates our roads and bridges, including flyovers, and put the safety of other motorists in jeopardy,” Sadain said in a statement.",
156,Displaced Saudi OFWs to get P10-K aid each - Ople,
157,MANILA – President Ferdinand R. Marcos Jr. has issued an administrative order (AO) creating a special task force to maintain peace and order and suppress threats to safety and security on Negros Island.,
158,"PNP chief tells new cops: Uphold accountability, dedication",
159,MANILA – The Army Aviation Regiment (AAR) successfully rotated and relieved its pilots deployed in Mindanao from Feb. 23 to 24.,
160,"MANILA – President Ferdinand R. Marcos Jr. launched on Monday the ""KAIBIGAN-PŘATELÉ: Czechia-Philippine Cultural and Diplomatic Dialogue,"" which was timed with the official visit of Czechia Prime Minister Petr Fiala.The new book highlights the cultural and diplomatic exchanges between the Republic of the Philippines and the Czechia Republic.The book, which was launched in Malacañang, is a collaborative effort of various Filipino and Czechia contributors and editors, under the initiative of Ambassador Jana Šedivá.“I hope that all the work and effort poured into this publication makes it not only an informative tool for everyone who is interested in the rich history of cultural and diplomatic exchanges between our two countries, but that it serve also as a symbol of the friendship amongst our people,” Marcos said in his speech during the launch.“I believe that it is only fitting that the launching of the book happens during the visit of Czech Prime Minister Petr Fiala to Manila, so he can witness, as we continue to foster and strengthen the relationship between the Philippines and the Czech Republic,"" the chief executive said.President Marcos said while formal relations between the Philippines and the Czechia Republic were only established in 1973, the book documents the rich history of people-to-people and socio-cultural exchanges between the two countries as early as the 17th century. The book covers events from the arrival of Jesuit missionary and taxonomist Georg Josef Kamel, from whom the camellia plant was named after, to the warm friendship between Jose Rizal and Ferdinand Blumentritt who was born in Prague, to the recollections of Czechia diplomats and journalists who lived in Manila.The book, Marcos said, is proof that the Filipino and Czech people consider each other as přátelé or friends.The Philippines and Czechia  this year the 50th year anniversary of their bilateral relations. ",
161,DA braces for crop damage from TD Amang,
162,"MANILA – Camarines Sur 2nd District Rep. Luis Raymund “LRay” Villafuerte on Thursday maintained that unless the restrictive economic provisions in the Constitution are amended, the country will never see the vibrant foreign investment being enjoyed by the Philippines’ neighboring economies.",
163,DND chief: EDCA sites have yet to be identified,
164,MANILA – The Philippine Drug Enforcement Agency (PDEA) destroyed on Thursday a total of PHP19.9 billion worth of dangerous drugs and controlled precursors and essential chemicals (CPECs) in Cavite.,
165,DSWD unveils FMS-FYI page in line with PBBM’s digitalization call,
166,Comelec urges Bulacan town voters to join plebiscite,
167,Austin commits MDT in case of armed attack vs. PH assets in SCS,
168,PCG spots more than 100 Chinese vessels over 7 days in WPS,
169,MANILA – The Philippines will review a proposed trilateral defense and security deal with two of its closest allies – the United States and Japan.,
170,"403,567 to take gov’t career service exam on March 26",
171,MANILA – The National Capital Region Police (NCRPO) would implement maximum police presence and boost its anti-crime campaign for the influx of travelers for the Lenten season and the summer months.,
172,MANILA – More overseas Filipino workers (OFWs) will have a chance to purchase their dream houses under the Pambansang Pabahay Program Para sa Pilipino Housing (4PH) program of the administration of President Ferdinand R. Marcos Jr.,
173,Solon bats for creation of clusters of grains commodity exchanges,
174,"MANILA – House of Representatives Deputy Speaker, Batangas 6th District Rep. Ralph Recto, on Thursday called on President Ferdinand R. Marcos Jr. to certify as urgent the House bill extending the deadline of the estate tax amnesty for another two years.",
175,PNA signs news exchange deal with Israel’s TPS,
176,MANILA – The Department of Tourism (DOT) on Tuesday  a newly signed air services agreement that would double passenger flights between the Philippines and Türkiye.,
177,EMB eyes approval of all solid waste management plans in 2023,
178,"MANILA – The government will tie loose ends in connection with the Bangladesh Bank heist in 2016, the Department of Justice (DOJ) assured on Friday.",
179,MANILA – The Philippine News Agency  has formally signed on Friday a news cooperation agreement with state-owned Sputnik International News Media.,
180,Promote employee well-being thru physical fitness programs: CSC,
181,MANILA – The city government of Manila will suspend the vaccination against coronavirus disease 2019 (Covid-19) to give way to the observance of Holy Week.,
182,DBM: P1-B allocated to modernize Bureau of Fire Protection,
183,"MANILA – Immigration Commissioner Norman Tansingco on Tuesday vowed that the bureau will continue its intensified campaign against human trafficking and illegal recruitment despite social media bashings. “There will be no letup in our campaign so long as these traffickers and illegal recruiters continue to prey on our countrymen who are sent to work abroad without proper documents and protection from the government,” he said in a statement on Tuesday. “I have instructed our officers to keep doing their duties with dignity and patriotism. Social media ridicule will not deter us from performing our mandate  human trafficking in our ports,” Tansingco added.",
184,MANILA – President Ferdinand R. Marcos Jr. on Friday bared the plan to purchase Mini Cruiser vehicles manufactured by Japanese carmaker Toyota Motor Corporation for the Armed Forces of the Philippines (AFP).,
185,"MANILA – Department of Budget and Management (DBM) Secretary Amenah Pangandaman believes that the more open the government is, the more opportunities there are to provide better public service.",
186,3 Sikh extremists nabbed in joint cybercrime ops in Iloilo,
187,"Easterlies to bring cloudy skies, scattered rains on Saturday",
188,Rivera appointed acting BJMP chief,
189,"SSS to put solar panels in offices, promote renewable energy",
190,"MANILA – A total of 63 members of the Communist Party of the Philippines - New People's Army (CPP-NPA) have surrendered to different police units in Mimaropa from January to April 11 this year, according to Brig. Gen. Joel Doria, director of the Police Regional Office (PRO) 4B, on Wednesday.",
191,MANILA – The Bicol Saro Party list has a new representative in the House of Representatives.,
192,"OCD, QC, Pasig inspect areas along fault lines",
193,MANILA – The Philippine Army (PA) maintained that the ex-soldiers arrested and implicated in the killing of Negros Oriental Governor Roel Degamo and eight others last March 4 have long been booted out of the service for various violations of the Articles of War.,
194,"Chinese nabbed, P4-B 'shabu' seized in Baguio City",
195,"MANILA – Filipino faithful have been requested to pray for the immediate recovery of Pope Francis, who is in the hospital for respiratory infections.",
196,"US, Korea ink P111.5-M grant to back PH climate resiliency effort",
197,Senators back PBBM declaration Cha-cha not priority,
198,NBI to probe murder of call center labor leader in Bacolod,
199,OrMin mayor suspended for issuing illegal cockfight permits,
200,"MANILA – Philippine Navy (PN) units have assisted the passengers and crew members of passenger ship that ran aground off Talibon, Bohol last Feb. 28.",
201,"MANILA – President Ferdinand R. Marcos Jr. on Friday said the effects of the series of business meetings in Japan will be felt ""very rapidly"" after his five-day working visit in Tokyo.",
202,SIM card registration extended for 90 days,
203,Maynilad schedules daily water interruption starting March 28,
204,MANILA – The Bureau of Local Employment (BLE) would now handle the administration of contracting arrangements in the private sector.,
205,"MANILA – President Ferdinand R. Marcos Jr. has picked businessman Benito Techico as his special envoy to China for trade, investments and tourism.",
206,"MANILA – The Department of National Defense (DND) and the Philippine Veterans Affairs Office (PVAO) have urged the public, especially the youth, to participate in this year's Philippine Veterans Week (PVW) from April 5 to 12.",
207,"43 NPA, BIFF, ASG members neutralized in weeklong ops - AFP",
208,MANILA – The Civil Aviation Authority of the Philippines (CAAP) will investigate an incident involving a civilian plane interrupting the Balikatan live-fire drills in Zambales on Wednesday.,
209,PH Navy's anti-sub helicopter lands on moving missile frigate,
210,US experts arrive in Mindoro to support PH oil spill response,
211,"AFP, Canadian Armed Forces host 5-day military operational course",
212,MANILA – The Department of Transportation (DOTr) has been recognized by an international group for its efforts  transport projects that boost the country's economy and protect the environment.,
213,"MANILA – Foreign recruitment agencies in Bahrain  to ensure the protection of overseas Filipino workers (OFWs) in the Gulf state, Kabayan Party-list Rep. Ron Salo said Thursday.",
214,MANILA – The country’s information technology (IT) and business process management (BPM) sector has reported a strong performance in 2022 through the addition of thousands of jobs and a jump in the sector’s revenues.,
215,"MANILA – The northeast monsoon and shear line will cause rains across Luzon and the Visayas on Tuesday, the weather bureau said.",
216,CIDG nabs 16 fugitives,
217,MANILA – The United States Coast Guard (USCG) and some of its air assets will assist in the ongoing cleanup operations on the massive oil spill in Mindoro.,
218,MANILA – The Sandiganbayan has reversed the conviction of officials of the Philippine State College of Aeronautics (PhilSCA) implicated in an alleged irregular bidding process.,
219,"MANILA – The Philippine Army (PA) and US  engineers on Friday (April 21) fired the anti-personnel obstacle breaching system (APOBS) as part of the ""Balikatan"" exercise to clear minefields and other obstacles at the battlefield.",
220,"MANILA – Scholarship programs with a mandatory return service may be one way to address the shortage of Filipino nurses, who prefer to work abroad because of much higher salaries.",
221,Marcos to continue ‘good’ infra projects of past admin,
222,Romualdez sees stronger PH-US economic security ties,
223,"MANILA – The Philippine Drug Enforcement Agency (PDEA) on Thursday destroyed more than 720 kilograms of dangerous drugs, controlled precursors and essential chemicals (CPECs) worth PHP4.1 billion at the Integrated Waste Management, Inc. (IWMI) facility in Trece Martires City, Cavite.",
224,Estrella to DAR field offices: Ensure rural projects are working,
225,MANILA – The Philippines and the United Kingdom (UK) have both expressed strong support to calls for stability and security in the Indo-Pacific Region.,
226,Task force created on Oriental Mindoro oil spill,
227,"MANILA – President Ferdinand R. Marcos Jr. on Wednesday recognized the achievements made by “outstanding” public servants, thanking them for making a lasting impact on the government and society during the awarding ceremony at the Ceremonial Hall of Malacañan Palace.",
228,"GSIS assures balanced selection of local, global investments",
229,MANILA – All Department of Agrarian Reform (DAR) regional and provincial officials must monitor  rural infrastructure sub-projects and ensure that they are operational and well maintained.,
230,MANILA – President Ferdinand R. Marcos Jr. on Saturday conducted an aerial inspection to assess the extent of damage caused by the oil spill from the sunken MT Princess Empress in Mindoro.,
231,"Legislator underscores role of women in agri, economic growth",
